Date,Rate
2017-12-20,0.747954
2017-12-21,0.747465
2017-12-22,0.74856
2017-12-23,0.748335
2017-12-24,0.748275
2017-12-25,0.747709
2017-12-26,0.747719
2017-12-27,0.746085
2017-12-28,0.744067
2018-01-01,0.740188
2018-01-02,0.7356
2018-01-03,0.740096
2018-01-04,0.737844
2018-01-05,0.737085
2018-01-06,0.737085
2018-01-07,0.736583
2018-01-08,0.7369
2018-01-09,0.739074
2018-01-10,0.740083
2018-01-11,0.738488
2018-01-12,0.728345
2018-01-13,0.72836
2018-01-14,0.728258
2018-01-15,0.724944
2018-01-16,0.724765
2018-01-17,0.723324
2018-01-18,0.719811
2018-01-19,0.7215
2018-01-20,0.7215
2018-01-21,0.719942
2018-01-22,0.715108
2018-01-23,0.713664
2018-01-24,0.703225
2018-01-25,0.706727
2018-01-26,0.706185
2018-01-27,0.706185
2018-01-28,0.706663
2018-02-01,0.700957
2018-02-02,0.70822
2018-02-03,0.708065
2018-02-04,0.708689
2018-02-05,0.717152
2018-02-06,0.716538
2018-02-07,0.720507
2018-02-08,0.717537
2018-02-09,0.72312
2018-02-10,0.723065
2018-02-11,0.723372
2018-02-12,0.722055
2018-02-13,0.720257
2018-02-14,0.71351
2018-02-15,0.708993
2018-02-16,0.71261
2018-02-17,0.71286
2018-02-18,0.712657
2018-02-19,0.714664
2018-02-20,0.714298
2018-02-21,0.718825
2018-02-22,0.716789
2018-02-23,0.715922
2018-02-24,0.715835
2018-02-25,0.715911
2018-02-26,0.716127
2018-02-27,0.71918
2018-02-28,0.727026
2018-03-01,0.725942
2018-03-02,0.724428
2018-03-03,0.7246
2018-03-04,0.724912
2018-03-05,0.722073
2018-03-06,0.71946
2018-03-07,0.719194
2018-03-08,0.724436
2018-03-09,0.72197
2018-03-10,0.72197
2018-03-11,0.721728
2018-03-12,0.719167
2018-03-13,0.71573
2018-03-14,0.715844
2018-03-15,0.717531
2018-03-16,0.717
2018-03-17,0.717
2018-03-18,0.717154
2018-03-19,0.713
2018-03-20,0.714082
2018-03-21,0.707098
2018-03-22,0.708607
2018-03-23,0.70746
2018-03-24,0.707364
2018-03-25,0.706844
2018-03-26,0.70235
2018-03-27,0.705383
2018-03-28,0.710079
2018-04-01,0.712437
2018-04-02,0.711916
2018-04-03,0.7108
2018-04-04,0.709832
2018-04-05,0.713963
2018-04-06,0.70987
2018-04-07,0.7096
2018-04-08,0.7097
2018-04-09,0.707549
2018-04-10,0.705169
2018-04-11,0.704842
2018-04-12,0.702279
2018-04-13,0.7021
2018-04-14,0.7021
2018-04-15,0.7019
2018-04-16,0.697314
2018-04-17,0.69946
2018-04-18,0.704104
2018-04-19,0.710014
2018-04-20,0.71403
2018-04-21,0.714055
2018-04-22,0.714184
2018-04-23,0.717495
2018-04-24,0.714585
2018-04-25,0.717573
2018-04-26,0.718494
2018-04-27,0.725585
2018-04-28,0.725585
2018-05-01,0.734811
2018-05-02,0.736803
2018-05-03,0.736807
2018-05-04,0.739095
2018-05-05,0.739155
2018-05-06,0.739
2018-05-07,0.736974
2018-05-08,0.737833
2018-05-09,0.738334
2018-05-10,0.73954
2018-05-11,0.738225
2018-05-12,0.7383
2018-05-13,0.737976
2018-05-14,0.737377
2018-05-15,0.740658
2018-05-16,0.738158
2018-05-17,0.740078
2018-05-18,0.742395
2018-05-19,0.742475
2018-05-20,0.74195
2018-05-21,0.744521
2018-05-22,0.743779
2018-05-23,0.747999
2018-05-24,0.747234
2018-05-25,0.751485
2018-05-26,0.751425
2018-05-27,0.751408
2018-05-28,0.751146
2018-06-01,0.748955
2018-06-02,0.74912
2018-06-03,0.748868
2018-06-04,0.750977
2018-06-05,0.745875
2018-06-06,0.745045
2018-06-07,0.745381
2018-06-08,0.746
2018-06-09,0.74563
2018-06-10,0.7455
2018-06-11,0.747863
2018-06-12,0.747719
2018-06-13,0.747253
2018-06-14,0.754432
2018-06-15,0.752845
